n,m,k,recoverability
1035,1050,20,0.75260046175988038
1460,1481,21,0.79519814208849648
2061,2099,22,0.81581821469454352
2911,2986,23,0.84620587339010878
4114,4153,24,0.87313503445918694
5814,5812,25,0.86801919954165419
8219,8401,26,0.91212699543094600
11620,11753,27,0.92307283795137463
16431,16707,28,0.93174168814588310
23235,23244,29,0.93897069870202554
32858,33660,30,0.95022327133160789
46469,46471,31,0.95798188113379945
65718,66745,32,0.96212514464306753
92943,93250,33,0.97203902279738674
131448,131391,34,0.97429955746402541
185907,188919,35,0.98000408775443393
262930,266515,36,0.98595603491761563
371865,379099,37,0.98572300337543806
525936,538410,38,0.98833877592663133
743843,746194,39,0.98999160626120120
1052035,1081766,40,0.99292885021123056
1487921,1511766,41,0.99329544367449851
2104407,2135638,42,0.99489372315623859
2976321,3034866,43,0.99568038812716420
4209496,4267867,44,0.99569716917006046
