n,m,k,recoverability
1035,1085,20,0.72731476859897537
1460,1527,21,0.79900880824423592
2061,2184,22,0.80791661403714865
2911,3053,23,0.82457052765526828
4114,4327,24,0.88247495550314792
5814,6093,25,0.89074649686861862
8219,8652,26,0.89528428335419619
11620,12103,27,0.91368490171627625
16431,17472,28,0.93130136513593886
23235,24798,29,0.93983012476901440
32858,34279,30,0.94908128712501427
46469,48602,31,0.96106494677160215
65718,67623,32,0.96424211083643552
92943,96941,33,0.97511474826172551
131448,137678,34,0.97650128918379808
185907,197210,35,0.98054035173144971
262930,279312,36,0.98461952628336846
371865,392680,37,0.98591922255270714
525936,547029,38,0.98885494773969473
743843,781536,39,0.99057052959723846
1052035,1102591,40,0.99258611602028946
1487921,1552893,41,0.99365460482674339
2104407,2183944,42,0.99450336838682174
2976321,3126138,43,0.99575135609373799
4209496,4377265,44,0.99619580689710174
