n,m,k,recoverability
1035,1183,20,0.73138998030194013
1460,1696,21,0.77664739290056817
2061,2375,22,0.80060533061546013
2911,3306,23,0.84239909029681737
4114,4686,24,0.86015146199522452
5814,6569,25,0.87934912412636768
8219,9582,26,0.90834577928883020
11620,13169,27,0.92595247162154781
16431,19247,28,0.93261722626017718
23235,26059,29,0.94589786944989063
32858,38328,30,0.95260314634023147
46469,50943,31,0.95637728945156808
65718,74419,32,0.96656485088766897
92943,107533,33,0.97317433037326639
131448,146208,34,0.97667871268136663
185907,214242,35,0.97804003130105410
262930,305695,36,0.98388617636029341
371865,422259,37,0.98610097297373966
525936,601767,38,0.98761766333744849
743843,856187,39,0.99129295926116801
1052035,1227371,40,0.99200601843867686
1487921,1725457,41,0.99308316094355376
2104407,2420369,42,0.99433871595677037
2976321,3468802,43,0.99517819121972617
4209496,4895551,44,0.99643392294577848
