n,m,k,recoverability
2542,426,20,0.74061807874276431
3758,576,21,0.80270616711944409
5556,782,22,0.84005759943839020
8216,1057,23,0.87002814833229636
12153,1415,24,0.87115135231210983
17979,1921,25,0.91438716411201260
26600,2598,26,0.92033281377787091
39356,3539,27,0.93588194767230348
58231,4725,28,0.94229000819407704
86162,6491,29,0.95118183419262425
127492,8722,30,0.95755641129461955
188649,11711,31,0.96564833055570265
279144,15827,32,0.97275703589680784
413052,21445,33,0.97555700943169366
611200,29178,34,0.98101148572900820
904405,39518,35,0.98384785487083548
1338268,53719,36,0.98760771101945422
1980268,71066,37,0.98847210114569473
2930251,97919,38,0.99221197113453241
4335968,130642,39,0.99295893837600746
6416046,178116,40,0.99448690433100440
9493993,239407,41,0.99487339902194050
14048516,324491,42,0.99581690232035314
20787967,429489,43,0.99667193460656445
30760516,596822,44,0.99700103055863620
