n,m,k,recoverability
1035,1098,20,0.74586936974834117
1460,1543,21,0.80712332635299877
2061,2167,22,0.81375463238037526
2911,3025,23,0.82934861019305128
4114,4297,24,0.87872762152047812
5814,6020,25,0.89400868973787373
8219,8678,26,0.91190210924412995
11620,12245,27,0.91627945778763642
16431,17188,28,0.93209167301856466
23235,24430,29,0.94243274430059132
32858,33902,30,0.95124945910952219
46469,49523,31,0.95963490841875432
65718,68715,32,0.96541947723942700
92943,96378,33,0.97057503901524755
131448,136471,34,0.97638008253720499
185907,195229,35,0.98060474655609720
262930,274408,36,0.98184373596004937
371865,391077,37,0.98770751013006519
525936,554776,38,0.98874577041778777
743843,796037,39,0.99073281373743982
1052035,1100174,40,0.99144046860054180
1487921,1555734,41,0.99353598883847249
2104407,2192038,42,0.99440081812444492
2976321,3076170,43,0.99475621221982391
4209496,4376913,44,0.99642791608254655
