n,m,k,recoverability
1035,1030,20,0.76106862526054253
1460,1457,21,0.74630368239494871
2061,2070,22,0.81798969617572337
2911,2914,23,0.84999516990420443
4114,4122,24,0.85800164343016350
5814,5843,25,0.88219855917576706
8219,8137,26,0.89822076040772525
11620,11675,27,0.92327218607709782
16431,16133,28,0.93782542737824359
23235,22942,29,0.93694148258988330
32858,32560,30,0.95474070949398038
46469,46324,31,0.95869425933512520
65718,65261,32,0.96675782184484860
92943,92554,33,0.97081104133314033
131448,130285,34,0.97887326202947134
185907,185662,35,0.97913879807074689
262930,261627,36,0.98464237106633734
371865,367071,37,0.98795248913298594
525936,530744,38,0.98815808252134130
743843,742849,39,0.99110930524363694
1052035,1046147,40,0.99218426382454439
1487921,1492685,41,0.99355607910404720
2104407,2102874,42,0.99528265479053546
2976321,2973048,43,0.99518601485711156
4209496,4219036,44,0.99674834013326841
